Time (s),1_pre,,,Time (s),1_post,,,Time (s),2_pre,,,Time (s),2_post,3_post,,,Time (s),3_pre,,,Time (s),4_pre,4_post,,,Time (s),5_pre,5_post,6_pre,,,Time (s),6_post,7_pre,7_post,8_pre,8_post,,,Time (s),9_pre,,,Time (s),9_post,,,Time (s),10_pre,,,Time (s),10_post,,,Time (s),11_pre,,,Time (s),11_post
1.54,0.0639,,,1.54,0.085,,,1.54,0.1225,,,1.54,-0.0567,-0.0721,,,1.54,0.0638,,,1.54,0.1668,0.0459,,,1.54,-0.0187,0.1851,0.2563,,,1.54,-0.0657,0.1122,-0.0481,0.0887,-0.2009,,,1.54,-0.1985,,,1.54,0.1559,,,1.54,0.0225,,,1.54,0.017,,,1.54,-0.0355,,,1.54,-0.0316
1.55,0.1532,,,1.55,0.029,,,1.55,0.1013,,,1.55,-0.0842,-0.0524,,,1.55,0.0052,,,1.55,0.1364,-0.0092,,,1.55,0.039,0.0989,0.2492,,,1.55,-0.1033,0.1618,0.0797,0.0906,-0.1673,,,1.55,0.1907,,,1.55,0.0471,,,1.55,0.0217,,,1.55,0.0224,,,1.55,0.0656,,,1.55,-0.0079
1.56,0.0628,,,1.56,-0.0024,,,1.56,0.0266,,,1.56,-0.0217,-0.0761,,,1.56,0.038,,,1.56,0.0818,0.026,,,1.56,-0.0076,0.2138,0.2213,,,1.56,-0.1135,0.0328,-0.0319,0.1919,-0.1321,,,1.56,0.3303,,,1.56,-0.0358,,,1.56,0.0223,,,1.56,0.0012,,,1.56,-0.0417,,,1.56,-0.0445
1.57,0.1206,,,1.57,-0.0079,,,1.57,0.0844,,,1.57,-0.0574,-0.0765,,,1.57,-0.0191,,,1.57,0.0788,0.0139,,,1.57,0.007,0.1605,0.1817,,,1.57,-0.1195,0.1501,0.0828,0.0401,-0.1279,,,1.57,-0.121,,,1.57,0.0501,,,1.57,0.063,,,1.57,0.0442,,,1.57,-0.0325,,,1.57,-0.0131
1.58,0.1175,,,1.58,0.0325,,,1.58,0.117,,,1.58,-0.0101,-0.0628,,,1.58,-0.0265,,,1.58,0.1137,0.0042,,,1.58,-0.003,0.2278,0.1976,,,1.58,-0.0585,0.1057,0.0467,0.1119,-0.1527,,,1.58,0.1208,,,1.58,0.2305,,,1.58,0.0219,,,1.58,-0.0571,,,1.58,-0.0681,,,1.58,0.0158
1.59,0.0878,,,1.59,-0.0617,,,1.59,0.1124,,,1.59,-0.088,-0.0887,,,1.59,-0.0117,,,1.59,0.0704,-0.0278,,,1.59,-0.007,0.169,0.2145,,,1.59,-0.0754,0.1185,-0.0253,-0.0433,-0.095,,,1.59,-0.0466,,,1.59,-0.1126,,,1.59,0.0136,,,1.59,0.035,,,1.59,-0.0864,,,1.59,-0.0018
1.6,0.1098,,,1.6,-0.0233,,,1.6,0.1195,,,1.6,-0.003,-0.1519,,,1.6,-0.0085,,,1.6,0.1028,-0.021,,,1.6,0.0004,0.0796,0.1594,,,1.6,-0.0825,0.2656,0.0792,0.0267,-0.0007,,,1.6,-0.0369,,,1.6,0.355,,,1.6,0.058,,,1.6,0.0246,,,1.6,-0.043,,,1.6,-0.0217
1.61,0.1038,,,1.61,-0.0556,,,1.61,0.1338,,,1.61,-0.0681,-0.0625,,,1.61,-0.0116,,,1.61,0.0898,-0.0072,,,1.61,0.0568,0.0809,0.1523,,,1.61,-0.0771,0.0981,-0.0651,0.0113,-0.1164,,,1.61,-0.1754,,,1.61,0.1196,,,1.61,0.0702,,,1.61,0.0409,,,1.61,-0.0362,,,1.61,0.0269
1.62,0.1315,,,1.62,0.0273,,,1.62,0.0296,,,1.62,-0.1337,-0.1645,,,1.62,0.0053,,,1.62,0.0184,0.0214,,,1.62,0.0379,0.1096,0.1595,,,1.62,-0.1489,0.1805,0.1354,0.0616,0.0107,,,1.62,0.0097,,,1.62,-0.1516,,,1.62,0.02,,,1.62,0.0166,,,1.62,-0.094,,,1.62,-0.0166
1.63,0.0697,,,1.63,0.0112,,,1.63,0.037,,,1.63,-0.0518,-0.0929,,,1.63,0.0354,,,1.63,0.0552,0.0308,,,1.63,0.0215,-0.0579,0.1318,,,1.63,-0.1246,-0.1965,-0.0034,0.1861,-0.0529,,,1.63,-0.1626,,,1.63,-0.0803,,,1.63,0.0365,,,1.63,0.1448,,,1.63,-0.0312,,,1.63,0.0505
1.64,0.075,,,1.64,0.0044,,,1.64,0.0236,,,1.64,-0.0635,-0.1662,,,1.64,0.0599,,,1.64,0.0282,0.0633,,,1.64,-0.0261,-0.0986,0.1014,,,1.64,-0.24,0.1355,0.0817,0.1738,0.0017,,,1.64,0.1051,,,1.64,-0.0919,,,1.64,0.0565,,,1.64,0.094,,,1.64,-0.007,,,1.64,-0.0301
1.65,0.166,,,1.65,0.0433,,,1.65,0.1206,,,1.65,-0.0519,-0.1863,,,1.65,-0.015,,,1.65,0.035,-0.0115,,,1.65,0.0161,-0.0482,0.0909,,,1.65,-0.282,0.0354,-0.0766,0.0534,0.018,,,1.65,-0.0918,,,1.65,0.0503,,,1.65,0.0722,,,1.65,0.1043,,,1.65,-0.0059,,,1.65,0.0104
1.66,0.1346,,,1.66,0.0506,,,1.66,0.0134,,,1.66,-0.0366,-0.2069,,,1.66,-0.0086,,,1.66,0.0656,-0.0255,,,1.66,-0.0111,-0.097,0.0536,,,1.66,-0.1858,-0.0848,0.1657,-0.0446,-0.0583,,,1.66,0.114,,,1.66,-0.131,,,1.66,0.1287,,,1.66,0.1521,,,1.66,-0.0068,,,1.66,0.0064
1.67,0.1071,,,1.67,0.0483,,,1.67,0.0734,,,1.67,-0.0384,-0.1991,,,1.67,0.0696,,,1.67,0.093,0.0023,,,1.67,0.0122,-0.1331,0.0475,,,1.67,-0.1697,0.0419,0.2078,0.1619,-0.1377,,,1.67,-0.0537,,,1.67,-0.1294,,,1.67,0.1453,,,1.67,0.0823,,,1.67,-0.0203,,,1.67,-0.064
1.68,0.1781,,,1.68,-0.0336,,,1.68,0.0857,,,1.68,-0.0236,-0.123,,,1.68,0.0445,,,1.68,0.0101,0.0341,,,1.68,0.0616,-0.0828,0.0199,,,1.68,-0.1465,0.0932,0.0203,0.0674,-0.1173,,,1.68,-0.1004,,,1.68,-0.1361,,,1.68,0.109,,,1.68,0.1321,,,1.68,0.0413,,,1.68,0.0196
1.69,0.1355,,,1.69,-0.0129,,,1.69,0.0995,,,1.69,-0.0345,-0.2311,,,1.69,-0.0033,,,1.69,0.0433,0.014,,,1.69,-0.0107,-0.0603,-0.0103,,,1.69,-0.1104,0.0173,0.0924,0.2362,0.0202,,,1.69,-0.1088,,,1.69,-0.0898,,,1.69,0.1258,,,1.69,0.1022,,,1.69,0.0051,,,1.69,-0.0359
1.7,0.0832,,,1.7,0.0106,,,1.7,0.1202,,,1.7,-0.0547,-0.0579,,,1.7,-0.0056,,,1.7,0.0796,0.0039,,,1.7,0.0779,-0.0891,-0.0339,,,1.7,-0.0943,0.0127,0.0858,-0.0291,0.0384,,,1.7,0.0684,,,1.7,-0.1651,,,1.7,0.083,,,1.7,0.1134,,,1.7,0.0502,,,1.7,-0.0476
1.71,0.0663,,,1.71,-0.0033,,,1.71,0.0519,,,1.71,-0.0629,0.0303,,,1.71,0.0517,,,1.71,0.0134,-0.0491,,,1.71,0.0782,-0.0009,-0.0435,,,1.71,-0.1091,-0.0584,0.0219,0.0184,0.1491,,,1.71,-0.096,,,1.71,0.0056,,,1.71,0.0854,,,1.71,0.0278,,,1.71,0.0312,,,1.71,-0.0198
1.72,0.0806,,,1.72,-0.0041,,,1.72,0.0186,,,1.72,-0.0694,-0.0463,,,1.72,-0.0005,,,1.72,0.072,0.008,,,1.72,0.1272,-0.0145,-0.0584,,,1.72,-0.1452,0.0738,0.0878,0.0399,0.1652,,,1.72,-0.001,,,1.72,-0.1693,,,1.72,0.0357,,,1.72,0.1169,,,1.72,-0.0001,,,1.72,-0.1133
1.73,0.0405,,,1.73,0.0343,,,1.73,0.0084,,,1.73,-0.0179,0.0594,,,1.73,-0.022,,,1.73,0.0723,0.0126,,,1.73,0.1204,0.0868,-0.0552,,,1.73,-0.1079,-0.0368,0.0248,0.1163,0.314,,,1.73,-0.0321,,,1.73,-0.1682,,,1.73,0.0149,,,1.73,0.1779,,,1.73,-0.003,,,1.73,0.0146
1.74,0.1101,,,1.74,-0.0232,,,1.74,0.0495,,,1.74,-0.0167,0.0233,,,1.74,0.0247,,,1.74,0.0524,-0.0669,,,1.74,0.2083,0.0043,-0.0559,,,1.74,-0.1367,-0.1387,0.0857,0.2145,0.2437,,,1.74,0.1669,,,1.74,-0.0588,,,1.74,-0.0251,,,1.74,0.0406,,,1.74,-0.0348,,,1.74,-0.0954
1.75,0.0766,,,1.75,-0.0132,,,1.75,0.1097,,,1.75,0.0414,0.0067,,,1.75,-0.0292,,,1.75,0.059,0.0006,,,1.75,0.2293,0.0409,-0.0598,,,1.75,-0.1484,0.0353,0.0578,0.0438,0.3125,,,1.75,-0.0193,,,1.75,-0.0558,,,1.75,-0.0986,,,1.75,0.1661,,,1.75,-0.0772,,,1.75,-0.09
1.76,0.1068,,,1.76,-0.0352,,,1.76,0.0409,,,1.76,0.0107,-0.0615,,,1.76,0.0121,,,1.76,0.0556,0.0339,,,1.76,0.1798,-0.0217,-0.0453,,,1.76,-0.1837,0.0703,-0.1197,-0.0041,0.295,,,1.76,-0.0313,,,1.76,-0.2622,,,1.76,-0.051,,,1.76,0.0483,,,1.76,-0.0771,,,1.76,-0.0589
1.77,0.1394,,,1.77,-0.0492,,,1.77,0.0351,,,1.77,-0.0259,-0.0607,,,1.77,-0.0309,,,1.77,0.0368,0.0168,,,1.77,0.2497,0.0594,-0.0494,,,1.77,-0.1476,0.0128,0.0487,0.0884,0.349,,,1.77,0.0358,,,1.77,0.1036,,,1.77,-0.0641,,,1.77,0.0998,,,1.77,-0.0299,,,1.77,-0.0177
1.78,0.0401,,,1.78,0.0133,,,1.78,0.0932,,,1.78,0.0269,0.0355,,,1.78,0.0349,,,1.78,0.0419,0.0204,,,1.78,0.2612,0.051,-0.0816,,,1.78,-0.1563,0.0385,0.2301,0.0152,0.3845,,,1.78,-0.0088,,,1.78,0.2005,,,1.78,-0.0997,,,1.78,-0.03,,,1.78,-0.0307,,,1.78,-0.0274
1.79,0.149,,,1.79,-0.0152,,,1.79,0.0902,,,1.79,0.0241,-0.0015,,,1.79,-0.0271,,,1.79,0.0355,0.0002,,,1.79,0.3015,0.0708,-0.1445,,,1.79,-0.1516,0.01,-0.1263,0.12,0.3307,,,1.79,-0.0478,,,1.79,0.1212,,,1.79,-0.1092,,,1.79,-0.0126,,,1.79,0.0039,,,1.79,-0.027
1.8,0.0854,,,1.8,0.075,,,1.8,0.0362,,,1.8,0.0389,-0.1089,,,1.8,0.0366,,,1.8,0.0357,0.0343,,,1.8,0.2646,-0.0077,-0.1888,,,1.8,-0.1485,0.1748,-0.1067,-0.0403,0.2152,,,1.8,-0.0843,,,1.8,0.1321,,,1.8,-0.1432,,,1.8,-0.0857,,,1.8,-0.019,,,1.8,0.0509
1.81,0.049,,,1.81,-0.0191,,,1.81,0.0661,,,1.81,-0.0246,-0.0028,,,1.81,0.0572,,,1.81,0.0654,-0.0081,,,1.81,0.2225,0.0512,-0.1846,,,1.81,-0.1369,-0.0253,-0.0898,-0.0726,0.3095,,,1.81,-0.0775,,,1.81,-0.0838,,,1.81,-0.069,,,1.81,-0.1085,,,1.81,-0.0144,,,1.81,0.0449
1.82,0.0794,,,1.82,0.0278,,,1.82,0.1112,,,1.82,-0.0307,-0.0936,,,1.82,0.0091,,,1.82,0.0545,0.0285,,,1.82,0.2744,0.0437,-0.1512,,,1.82,-0.1999,0.077,-0.0152,0.0815,0.4741,,,1.82,-0.1208,,,1.82,0.2431,,,1.82,-0.0225,,,1.82,-0.145,,,1.82,0.0192,,,1.82,0.0603
1.83,0.0552,,,1.83,-0.0717,,,1.83,0.04,,,1.83,-0.0224,-0.0322,,,1.83,-0.0133,,,1.83,0.0498,0.0127,,,1.83,0.1364,0.0168,-0.1196,,,1.83,-0.2231,0.0172,-0.0034,0.0071,0.3395,,,1.83,0.0513,,,1.83,0.1468,,,1.83,-0.0511,,,1.83,-0.2355,,,1.83,0.0143,,,1.83,0.0555
1.84,0.0506,,,1.84,0.0099,,,1.84,0.0087,,,1.84,0.008,-0.0313,,,1.84,0.0517,,,1.84,0.0792,0.0202,,,1.84,0.176,0.0049,-0.0773,,,1.84,-0.2363,0.1578,0.0782,-0.0508,0.2178,,,1.84,-0.2574,,,1.84,-0.0856,,,1.84,-0.034,,,1.84,-0.2379,,,1.84,0.0467,,,1.84,-0.0157
1.85,0.1085,,,1.85,-0.0322,,,1.85,0.0028,,,1.85,0.0116,-0.0694,,,1.85,0.0774,,,1.85,0.0609,0.0227,,,1.85,0.1877,0.004,-0.0272,,,1.85,-0.1302,0.0472,0.0827,-0.0422,0.2694,,,1.85,0.1605,,,1.85,0.2912,,,1.85,-0.0619,,,1.85,-0.2552,,,1.85,0.0314,,,1.85,-0.0502
1.86,0.0606,,,1.86,0.0187,,,1.86,0.1319,,,1.86,-0.0368,-0.1292,,,1.86,0.1536,,,1.86,0.0082,0.0436,,,1.86,0.0816,-0.0385,0.0192,,,1.86,-0.0788,0.0225,-0.1685,-0.1305,0.2998,,,1.86,0.0021,,,1.86,0.2079,,,1.86,-0.0396,,,1.86,-0.2347,,,1.86,-0.0178,,,1.86,-0.0812
1.87,0.107,,,1.87,0.0065,,,1.87,0.073,,,1.87,-0.0013,0.0045,,,1.87,0.0472,,,1.87,0.0191,0.0268,,,1.87,0.1191,0.0148,0.0641,,,1.87,0.0365,0.1524,0.0548,0.1362,0.3301,,,1.87,0.1869,,,1.87,-0.0763,,,1.87,-0.0744,,,1.87,-0.2821,,,1.87,0.1211,,,1.87,-0.1141
1.88,0.0763,,,1.88,-0.0542,,,1.88,0.0745,,,1.88,-0.0391,-0.0415,,,1.88,0.0733,,,1.88,0.0661,-0.0227,,,1.88,0.0819,0.1026,0.0818,,,1.88,0.0873,0.0494,-0.0652,0.057,0.3804,,,1.88,-0.106,,,1.88,-0.1459,,,1.88,-0.014,,,1.88,-0.277,,,1.88,0.0493,,,1.88,-0.0722
1.89,0.0702,,,1.89,0.0472,,,1.89,0.0393,,,1.89,-0.0251,0.025,,,1.89,0.0245,,,1.89,0.0527,-0.0136,,,1.89,0.0106,0.1198,0.0385,,,1.89,0.152,-0.0228,-0.1842,-0.025,0.2766,,,1.89,0.0679,,,1.89,-0.251,,,1.89,-0.0658,,,1.89,-0.2058,,,1.89,0.0658,,,1.89,-0.0551
1.9,0.0584,,,1.9,0.0318,,,1.9,0.0385,,,1.9,0.0046,-0.0538,,,1.9,0.0685,,,1.9,0.0354,0.0201,,,1.9,0.0571,0.0257,0.0804,,,1.9,0.2226,-0.1454,0.0329,-0.0665,0.3567,,,1.9,-0.1117,,,1.9,-0.0771,,,1.9,-0.0608,,,1.9,-0.1861,,,1.9,0.0766,,,1.9,-0.0661
1.91,0.1442,,,1.91,0.0175,,,1.91,0.0661,,,1.91,0.0126,-0.0449,,,1.91,-0.0198,,,1.91,0.0147,0.0296,,,1.91,0.0004,-0.07,0.0455,,,1.91,0.2218,0.033,0.156,-0.0887,0.1864,,,1.91,-0.0957,,,1.91,-0.2823,,,1.91,-0.0046,,,1.91,-0.1682,,,1.91,0.0797,,,1.91,-0.0982
1.92,0.1256,,,1.92,-0.0961,,,1.92,0.0121,,,1.92,-0.0396,-0.0778,,,1.92,0.0005,,,1.92,0.0399,0.0306,,,1.92,-0.0053,0.0121,0.0506,,,1.92,0.2646,-0.1739,0.0354,0.0663,0.2964,,,1.92,0.0052,,,1.92,-0.1883,,,1.92,-0.0344,,,1.92,-0.2135,,,1.92,0.0926,,,1.92,0.0197
1.93,0.0975,,,1.93,-0.0225,,,1.93,0.0365,,,1.93,-0.0405,-0.0884,,,1.93,0.011,,,1.93,0.0698,0.0236,,,1.93,0.0164,-0.0442,0.0417,,,1.93,0.2392,0.0435,-0.0765,-0.0049,0.3182,,,1.93,0.226,,,1.93,-0.3264,,,1.93,-0.0165,,,1.93,-0.0852,,,1.93,0.1056,,,1.93,0.005
1.94,0.0651,,,1.94,0.0024,,,1.94,0.0088,,,1.94,0.0252,-0.0591,,,1.94,-0.0414,,,1.94,0.0578,-0.0358,,,1.94,-0.048,-0.0316,0.0541,,,1.94,0.2848,-0.0108,0.0385,-0.0016,0.1883,,,1.94,-0.009,,,1.94,-0.0259,,,1.94,0.0556,,,1.94,-0.1194,,,1.94,0.0966,,,1.94,-0.0099
1.95,0.0601,,,1.95,-0.0357,,,1.95,0.0407,,,1.95,-0.0063,-0.0486,,,1.95,0.0336,,,1.95,0.0692,-0.0383,,,1.95,-0.0241,0.0459,0.0205,,,1.95,0.1926,-0.0355,-0.0659,0.1188,0.1475,,,1.95,0.2189,,,1.95,-0.166,,,1.95,0.0085,,,1.95,-0.0232,,,1.95,0.051,,,1.95,-0.0051
1.96,0.0657,,,1.96,-0.1148,,,1.96,0.0128,,,1.96,0.0267,-0.0641,,,1.96,-0.0306,,,1.96,0.0451,-0.0114,,,1.96,0.0706,-0.0387,-0.0272,,,1.96,0.2099,0.1183,0.1161,-0.1642,0.2291,,,1.96,0.0268,,,1.96,-0.2812,,,1.96,0.0696,,,1.96,-0.0681,,,1.96,0.1068,,,1.96,-0.0435
1.97,0.093,,,1.97,0.0044,,,1.97,0.0465,,,1.97,0.0428,-0.1183,,,1.97,-0.0237,,,1.97,0.0576,-0.0324,,,1.97,0.0192,-0.1415,-0.0216,,,1.97,0.184,0.0147,0.0846,0.0068,0.3572,,,1.97,0.2491,,,1.97,-0.1189,,,1.97,0.0847,,,1.97,-0.0936,,,1.97,0.0738,,,1.97,-0.0152
1.98,0.1796,,,1.98,-0.054,,,1.98,0.0693,,,1.98,-0.0111,-0.0688,,,1.98,-0.0202,,,1.98,0.0908,-0.0041,,,1.98,0.0708,-0.1872,-0.0334,,,1.98,0.1341,0.1238,0.1008,-0.0179,0.2063,,,1.98,0.1039,,,1.98,-0.0674,,,1.98,0.093,,,1.98,-0.0609,,,1.98,0.045,,,1.98,-0.0085
1.99,0.0595,,,1.99,-0.0329,,,1.99,0.0075,,,1.99,-0.002,0.0061,,,1.99,0.0276,,,1.99,0.0972,0.0051,,,1.99,-0.0101,-0.2049,-0.0381,,,1.99,0.1362,0.1328,0.1602,0.2063,0.1584,,,1.99,-0.0376,,,1.99,0.293,,,1.99,0.1439,,,1.99,-0.0695,,,1.99,0.0044,,,1.99,0.0942
2,0.0939,,,2,-0.0105,,,2,-0.0069,,,2,0.0197,0.0018,,,2,0.0389,,,2,0.0487,-0.0127,,,2,0.02,-0.069,0.0028,,,2,0.1046,-0.0011,0.1011,-0.0058,0.1766,,,2,-0.0623,,,2,-0.0043,,,2,0.087,,,2,-0.104,,,2,0.0185,,,2,-0.0263
2.01,0.1107,,,2.01,-0.0104,,,2.01,0.0202,,,2.01,-0.0517,0.0567,,,2.01,-0.0375,,,2.01,0.0538,-0.017,,,2.01,0.0921,-0.1247,-0.071,,,2.01,0.1007,0.1859,0.1427,0.1062,0.2789,,,2.01,0.0569,,,2.01,-0.0165,,,2.01,0.0957,,,2.01,-0.0246,,,2.01,0.006,,,2.01,0.015
2.02,0.1034,,,2.02,-0.0245,,,2.02,0.0456,,,2.02,-0.0029,0.0254,,,2.02,-0.0115,,,2.02,0.0128,0.021,,,2.02,0.0047,-0.0852,-0.0776,,,2.02,0.124,0.0008,0.0479,0.0619,0.2008,,,2.02,0.255,,,2.02,-0.2447,,,2.02,0.1982,,,2.02,-0.0964,,,2.02,-0.0176,,,2.02,0.0084
2.03,0.106,,,2.03,-0.0303,,,2.03,0.0375,,,2.03,0.0728,0.0179,,,2.03,0.0188,,,2.03,0.0506,-0.0134,,,2.03,0.0013,-0.2112,-0.1174,,,2.03,0.0882,-0.0457,-0.0344,-0.0022,0.1825,,,2.03,0.0719,,,2.03,-0.1734,,,2.03,0.1173,,,2.03,-0.033,,,2.03,0.0274,,,2.03,-0.013
2.04,0.1017,,,2.04,0.0045,,,2.04,0.0534,,,2.04,0.096,0.0911,,,2.04,0.0491,,,2.04,0.033,-0.0435,,,2.04,0.1083,-0.1933,-0.1156,,,2.04,0.0771,0.0835,-0.2178,-0.0572,0.1647,,,2.04,-0.0025,,,2.04,-0.3468,,,2.04,0.1931,,,2.04,0.0265,,,2.04,-0.035,,,2.04,0.0497
2.05,0.064,,,2.05,-0.0717,,,2.05,0.0058,,,2.05,-0.0403,0.0283,,,2.05,-0.0059,,,2.05,0.0685,0.0045,,,2.05,0.0194,-0.1586,-0.1118,,,2.05,0.0488,0.1966,-0.0763,0.005,0.1308,,,2.05,-0.0467,,,2.05,0.0512,,,2.05,0.1506,,,2.05,-0.0777,,,2.05,-0.0958,,,2.05,0.0428
2.06,0.1273,,,2.06,-0.0366,,,2.06,0.0342,,,2.06,0.0355,0.1043,,,2.06,-0.0125,,,2.06,0.0287,-0.0275,,,2.06,0.0195,-0.2054,-0.1131,,,2.06,0.022,-0.0917,0.0063,0.0087,0.292,,,2.06,-0.0896,,,2.06,-0.0404,,,2.06,0.1378,,,2.06,-0.0185,,,2.06,0.0471,,,2.06,0.1096
2.07,0.085,,,2.07,-0.0034,,,2.07,0.0329,,,2.07,0.0011,0.0791,,,2.07,-0.0186,,,2.07,0.0449,-0.0123,,,2.07,0.058,-0.2573,-0.0973,,,2.07,0.0364,0.0777,-0.1746,-0.0937,0.2568,,,2.07,-0.1272,,,2.07,-0.0652,,,2.07,0.1521,,,2.07,-0.0534,,,2.07,0.0088,,,2.07,-0.0378
2.08,0.0635,,,2.08,0.0231,,,2.08,0.0165,,,2.08,0.0596,0.0364,,,2.08,-0.0076,,,2.08,0.0181,-0.0022,,,2.08,0.1086,-0.2141,-0.1153,,,2.08,-0.0246,-0.0926,0.0064,-0.0647,0.2014,,,2.08,0.1418,,,2.08,-0.1814,,,2.08,0.1848,,,2.08,-0.0105,,,2.08,-0.0358,,,2.08,-0.0256
2.09,0.0722,,,2.09,-0.0789,,,2.09,-0.0126,,,2.09,0.0251,0.0047,,,2.09,-0.0071,,,2.09,-0.0043,-0.0387,,,2.09,0.0585,-0.1159,-0.0835,,,2.09,0.0409,0.0863,-0.214,0.0026,0.1909,,,2.09,0.1209,,,2.09,0.0411,,,2.09,0.1251,,,2.09,-0.0389,,,2.09,-0.0151,,,2.09,0.0112
2.1,0.0716,,,2.1,-0.0249,,,2.1,0.0012,,,2.1,-0.0094,-0.0417,,,2.1,0.0277,,,2.1,0.0245,-0.049,,,2.1,0.0942,-0.1834,-0.1559,,,2.1,-0.0009,-0.0214,-0.1781,0.0233,0.3626,,,2.1,-0.0016,,,2.1,0.0301,,,2.1,0.1786,,,2.1,0.0582,,,2.1,-0.0298,,,2.1,0.0311
2.11,0.0714,,,2.11,-0.0591,,,2.11,-0.0079,,,2.11,0.0034,-0.0407,,,2.11,-0.0452,,,2.11,0.0109,-0.0382,,,2.11,-0.0233,-0.2637,-0.137,,,2.11,-0.013,0.0542,-0.2383,0.0208,0.1097,,,2.11,0.0305,,,2.11,-0.3301,,,2.11,0.1464,,,2.11,0.0459,,,2.11,0.0119,,,2.11,0.0897
2.12,0.0352,,,2.12,-0.0461,,,2.12,0.0447,,,2.12,0.0309,-0.0452,,,2.12,-0.0088,,,2.12,-0.0009,-0.0273,,,2.12,-0.0456,-0.1354,-0.174,,,2.12,-0.0869,0.0155,-0.2036,-0.0406,0.0676,,,2.12,0.1748,,,2.12,-0.3064,,,2.12,0.166,,,2.12,-0.0295,,,2.12,0.0145,,,2.12,0.0347
2.13,0.05,,,2.13,-0.024,,,2.13,0.0596,,,2.13,-0.0444,-0.0865,,,2.13,-0.0234,,,2.13,0.0019,-0.0662,,,2.13,0.0364,-0.0835,-0.1992,,,2.13,-0.0439,0.0731,-0.012,0.1231,0.1513,,,2.13,-0.3299,,,2.13,-0.2109,,,2.13,0.1337,,,2.13,0.092,,,2.13,-0.0037,,,2.13,0.0082
2.14,0.0897,,,2.14,0.0044,,,2.14,0.0026,,,2.14,-0.0172,-0.0148,,,2.14,-0.0217,,,2.14,0.0002,-0.03,,,2.14,0.0583,-0.0962,-0.2295,,,2.14,-0.0262,0.0435,0.0096,0.112,0.1431,,,2.14,-0.0912,,,2.14,0.2023,,,2.14,0.0676,,,2.14,-0.0276,,,2.14,0.0066,,,2.14,-0.0261
2.15,0.0344,,,2.15,-0.0229,,,2.15,-0.0057,,,2.15,0.0086,0.0141,,,2.15,0.0342,,,2.15,0.0171,-0.0387,,,2.15,0.0181,-0.202,-0.193,,,2.15,-0.0859,-0.0308,-0.1646,0.0386,-0.0168,,,2.15,0.0349,,,2.15,0.0417,,,2.15,0.1097,,,2.15,-0.0093,,,2.15,0.0391,,,2.15,0.0202
2.16,-0.0094,,,2.16,-0.0262,,,2.16,-0.0687,,,2.16,-0.0288,-0.0353,,,2.16,0.0649,,,2.16,0.0252,-0.0608,,,2.16,0.0664,-0.1411,-0.1035,,,2.16,-0.1533,-0.1037,-0.1525,0.0031,0.0116,,,2.16,-0.4158,,,2.16,-0.0066,,,2.16,0.0634,,,2.16,-0.0409,,,2.16,0.0234,,,2.16,-0.0553
2.17,0.051,,,2.17,0.0297,,,2.17,0.0041,,,2.17,-0.0815,-0.1116,,,2.17,0.0241,,,2.17,0.0434,-0.0802,,,2.17,0.0703,-0.146,-0.0949,,,2.17,-0.0853,0.0489,-0.2243,-0.0192,0.118,,,2.17,-0.1878,,,2.17,0.2191,,,2.17,0.1077,,,2.17,-0.0104,,,2.17,0.0411,,,2.17,-0.0142
2.18,0.1029,,,2.18,0.0061,,,2.18,-0.0544,,,2.18,-0.0738,-0.0575,,,2.18,0.0582,,,2.18,0.0433,-0.0529,,,2.18,0.1342,-0.1657,-0.015,,,2.18,-0.1014,0.0643,-0.129,-0.0965,0.1932,,,2.18,-0.3123,,,2.18,-0.042,,,2.18,0.1036,,,2.18,-0.0435,,,2.18,0.0554,,,2.18,-0.0455
2.19,0.0031,,,2.19,-0.0475,,,2.19,0.0038,,,2.19,-0.0455,0.0383,,,2.19,0.0299,,,2.19,0.0162,-0.0494,,,2.19,0.0542,-0.2103,0.0004,,,2.19,-0.1315,0.1379,-0.1323,0.0448,-0.0082,,,2.19,0.0384,,,2.19,-0.0184,,,2.19,0.0586,,,2.19,-0.2278,,,2.19,0.0482,,,2.19,-0.0509
2.2,0.0381,,,2.2,-0.0476,,,2.2,-0.0364,,,2.2,0.0039,-0.0247,,,2.2,-0.0011,,,2.2,0.0547,-0.0534,,,2.2,0.1204,-0.2117,0.0034,,,2.2,-0.1446,0.1565,0.1433,0.0533,0.0475,,,2.2,-0.0185,,,2.2,0.4086,,,2.2,0.0995,,,2.2,-0.1054,,,2.2,-0.0248,,,2.2,-0.0605
2.21,0.099,,,2.21,0.0057,,,2.21,-0.0107,,,2.21,-0.0341,-0.0546,,,2.21,0.0866,,,2.21,0.0375,0.0075,,,2.21,0.0253,-0.178,0.0454,,,2.21,-0.1583,0.1473,-0.0063,-0.0489,0.073,,,2.21,-0.0183,,,2.21,0.0149,,,2.21,0.1454,,,2.21,-0.085,,,2.21,-0.0614,,,2.21,-0.0026
2.22,0.0624,,,2.22,0.0183,,,2.22,0.0593,,,2.22,0.0193,0.0075,,,2.22,0.0225,,,2.22,0.0768,-0.0401,,,2.22,-0.0051,-0.2405,0.0066,,,2.22,-0.1705,0.0448,-0.3373,0.0251,0.0729,,,2.22,0.1912,,,2.22,0.2125,,,2.22,0.1022,,,2.22,0.0142,,,2.22,-0.0388,,,2.22,0.0591
